Shop,Location,Open Since,Contact
"<a href=""http://www.twelvemonkeys.de"" target=""_blank"">Twelve Monkeys

<img src=""https://www.bepakt.com/images/logo_12monkeys_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Twelve+Monkeys/@53.5479778,9.9628344,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18f72f66c4907:0x7ccdaf74c783763c!8m2!3d53.5479778!4d9.9650231?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Hamburg [20359]
<i>Hopfenstraße 15b</i>",15-May-2015,"<a href=""http://www.twelvemonkeys.de"" target=""_blank"">www.twelvemonkeys.de</a>
info@twelvemonkeys.de
+49 40 31 99 31 88
"
"<a href=""http://www.abuda.com"" target=""_blank"">Bali Buda

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/buda-bali.jpg"" height=70 width=70></a>","<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/indonesia.gif"" style=""width:20px; padding-right:2px;""> <b>Indonesia</b>

<a href=""https://www.google.com/maps/place/Bali+Buda+Store/@-8.5407193,115.1975553,12z/data=!4m8!1m2!2m1!1sbuda+bali!3m4!1s0x2dd23d6942a11773:0xab5fda28d9f714b7!8m2!3d-8.5087576!4d115.26682"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Bali [80571]
<i>Ubud, Mas, Gianyar</i>
",1-Jun-2015,"<a href=""http://www.liuda.com/ourmissio/bali-buddha-ubud/"" target=""_blank"">www.balibuda.com</a>
<a href=""mailto:info@balibuda.com"">info@balibuda.com</a>
+62 361 976324

 <a href=""https://www.facebook.com/balibudacafe/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/balibuda/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://www.augrainpres.com"" target=""_blank"">Au Grain Près
<img src=""https://www.bepakt.com/images/logo_augrainpres_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/france.gif"" style=""width:20px; padding-right:2px;""> <b>France</b>

<a href=""https://www.google.com/maps/place/3+Avenue+Pasteur,+13007+Marseille,+Frankrijk/@43.2918102,5.3589819,17z/data=!3m1!4b1!4m2!3m1!1s0x12c9c0da6c1d3fed:0xa8a6995d08d44bf3"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Marseille [13007]
<i>3 avenue Pasteur</i>",1-Jun-2015,"<a href=""http://www.augrainpres.com"" target=""_blank"">www.augrainpres.com</a>
<a href=""mailto:contact@augrainpres.com"">contact@augrainpres.com</a>
+33 4 88 64 03 13

<a href=""https://www.facebook.com/pages/Au-Grain-Près/845827375481418"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/augrainpres"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""http://youtu.be/-tYVIqfnGkk"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_youtube_300.png"" width=15 height=15></a> <a href=""https://plus.google.com/114991611086006374461/posts"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googleplus_150.png"" width=15 height=15></a> <a href=""http://www.kisskissbankbank.com/au-grain-pres-l-epicerie-sur-mesure-a-marseille"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_kisskissbankbank_300.png"" width=15 height=15></a>"
"<a href=""http://www.unverpackt-mainz.de""  target=""_blank"">Unverpackt Mainz

<img src=""https://www.bepakt.com/images/logo_unverpacktmainz_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Unverpackt+Mainz/@50.0083904,8.2593211,17z/data=!4m7!1m4!3m3!1s0x47bd96feae1eba73:0xd82d10ef98ad3064!2sKurfürstenstraße+49,+55118+Mainz,+Germany!3b1!3m1!1s0x47bd96feae1eba73:0xd850ef63c954851c"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Mainz [55118]
<i>Kurfürstenstraße 49</i>",1-Jun-2015,"<a href=""http://www.unverpackt-mainz.de"" target=""_blank"">www.unverpackt-mainz.de</a>
<a href=""mailto:info@unverpackt-mainz.de"">info@unverpackt-mainz.de</a>
+49 6131 6356783

<a href=""https://www.facebook.com/unverpacktmainz"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/unverpacktmainz/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>
"
"<a href=""http://baravrac.com"" target=""_blank"">Bar à Vrac

<img src=""https://www.bepakt.com/images/logo_baravrac_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/france.gif"" style=""width:20px; padding-right:2px;""> <b>France</b>

<a href=""https://www.google.com/maps/place/65+Allée+Léon+Gambetta,+13001+Marseille,+Frankrijk/@43.2992653,5.3845148,17z/data=!3m1!4b1!4m2!3m1!1s0x12c9c0a2a12c84dd:0x4fdb0a7c719140"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Marseille [13001] 
<i>65 Allée Léon Gambetta</i>",1-Jun-2015,"<a href=""http://baravrac.com/"" target=""_blank"">www.baravrac.com</a>
<a href=""mailto:nb@legerlocal.org"">nb@legerlocal.org</a>
(Nathalie Boudé)
+33 9 73 60 95 25

<a href=""https://www.facebook.com/baravracmarseille"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
"<a href="" http://nagieznatury.pl/"" target=""_blank"">Nagie Z Natury

<img src=""https://www.bepakt.com/images/logo_nagie_z_natury_1000.png"" height=70 width=70></a>

","<img src=""https://www.bepakt.com/images/flags/poland.gif"" style=""width:20px; padding-right:2px;""> <b>Poland</b>

<a href=""https://www.google.com/maps/place/NAGIE+Z+NATURY+-+ekologiczne+produkty+na+wagę/@52.254505,20.9930073,17z/data=!3m1!4b1!4m5!3m4!1s0x471ecc764cd9b78d:0x4deda1b71f5351df!8m2!3d52.254505!4d20.995196"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Warsaw [00-199]
<i>ul. Pokorna 2 lok. U15A</i>",11-Jun-2015,"<a href=""http://www.nagieznatury.pl"" target=""_blank"">www.nagieznatury.pl</a>
<a href=""mailto:jestesmytymcojemy@nagieznatury.pl"">jestesmytymcojemy@nagieznatury.pl</a>
+48 796 080 088

<a href=""https://www.facebook.com/pages/NAGIE-Z-NATURY/900110560027903"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://instagram.com/nagieznatury/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>  <a href=""https://www.youtube.com/channel/UCulRZzEQiARfhZZar7vB-jw"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_youtube_300.png"" width=15 height=15></a>  <a href=""https://plus.google.com/u/0/113522123826015616168/posts"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googleplus_150.png"" width=15 height=15></a>"
"<a href=""http://www.lesilo.co"" target=""_blank"">Le Silo
Épicerie Bio-Vrac

<img src=""https://www.bepakt.com/images/logo_le_silo_biovrac_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/canada.png"" style=""width:20px; padding-right:2px;""> <b>Canada</b>

<a href=""https://www.google.com/maps/place/Le+Silo+Épicerie+Bio-Vrac/@45.408122,-71.8829837,17z/data=!4m13!1m7!3m6!1s0x4cb7b3077ef01d81:0xc1b1b70202edab5a!2s385+Rue+King+E,+Sherbrooke,+QC+J1G+1B4,+Canada!3b1!8m2!3d45.408122!4d-71.880795!3m4!1s0x4cb7b3077ef01d81:0x9d93941fdba91c52!8m2!3d45.408122!4d-71.880795?hl=en""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Sherbrooke, QC
[J1G 1B4]
<i>385 Rue King E</i>",15-Jun-2015,"<a href=""http://www.lesilo.co"" target=""_blank"">www.lesilo.co</a>
info@lesilo.co"
"<a href=""http://www.unverpackt-gd.de"" target=""_blank"">Unverpackt GD 

<img src=""https://www.bepakt.com/images/logo_unverpackt_gd_1000.png"" height=70 width=70></a>

<span style=""color:orange"">formerly:
Regional und
Unverpackt</span>

<img src=""https://www.bepakt.com/images/logo_regionalundunverpackt_1000.png"" height=70 width=70>

","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/regional+und+unverpackt/@48.8014047,9.7959327,17z/data=!4m7!1m4!3m3!1s0x4799a810aada141d:0x4f369dc32b3f16ff!2sMühlbergle+11,+73525+Schwäbisch+Gmünd,+Germany!3b1!3m1!1s0x4799a810aada141d:0x618c1ae1bf5d311"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Schwäbisch Gmünd
[73525]
<i>Mühlbergle 11</i>","<span style=""color:orange"">1-Jul-2015 (Regional Und Unverpackt)</span>

24-Jan-2016 (Unverpackt GD)","<a href=""http://www.unverpackt-gd.de"" target=""_blank"">www.unverpackt-gd.de</a>
<a href=""mailto:kontakt@regional-und-unverpackt.de"">kontakt@regional-und-unverpackt.de</a>
+49 7171 8775180

<a href=""https://www.facebook.com/pg/UnverpacktGD"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""http://www.chyl.be/"" target=""_blank"">CHYL

<img src=""https://www.bepakt.com/images/logo_chyl_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/belgium.gif"" style=""width:20px; padding-right:2px;""> <b>Belgium</b>

<a href=""https://www.google.com/maps/place/Chyl/@50.8196829,4.3692184,17z/data=!4m7!1m4!3m3!1s0x47c3c4eec1d5d657:0x4db6193d590666f!2sRue+de+Belle-Vue+62,+1000+Bruxelles,+Belgium!3b1!3m1!1s0x47c3c4eec1d5d657:0x198b8358a8d4accc"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Brussels [1000]
<i>Rue de Belle Vue 62</i>",1-Jul-2015,"<a href=""http://www.chyl.be"" target=""_blank"">www.chyl.be</a>
<a href=""mailto:shop@chyl.be"">shop@chyl.be</a>
+32 2 648 34 76

<a href=""http://www.facebook.com/wechyl"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://instagram.com/_chyl/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/Verdessere1/"" target=""_blank"">Verdessere

<img src=""https://bepakt.com/images/logo_verdessere.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.it/maps/place/VERDESSERE/@44.6918455,10.6308578,17z/data=!3m1!4b1!4m5!3m4!1s0x47801c57c0f2e515:0x6454a455fb28ce9f!8m2!3d44.6918417!4d10.6330518"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Reggio Emilia [42100]
<i>Viale Ettore Simonazzi, 8</i>
",4-Jul-2015,"<a href=""mailto:verdessere1@gmail.com"">verdessere1@gmail.com</a>
+39 0522 156 1019

<a href=""https://www.facebook.com/Verdessere1/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>  <a href=""https://www.instagram.com/verdessere/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/dottorsfuso/"" target=""_blank"">Dottor Sfuso

<img src=""https://bepakt.com/wp-content/uploads/2018/03/Dottor-Sfuso.png"" height=70 width=90></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/search/Dottor+Sfuso,+via+Roma,+145,+82026+Morcone,+Italy/@41.3427336,14.6620166,17z/data=!3m1!4b1?dcr=0"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Morcone (Benevento) [82026]
<i>Via Roma, 145</i>",9-Aug-2015,"<a href=""https://www.facebook.com/dottorsfuso/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""https://shop.11ie.de"" target=""_blank"">11iE

<img src=""https://bepakt.com/images/logo_11ie.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

online shop",31-Aug-2015,"<a href=""https://shop.11ie.de"" target=""_blank"">www.shop.11ie.de</a>
<a href=""mailto:elfie@11ie.de"">elfie@11ie.de</a>

<a href=""https://www.facebook.com/11ie.de/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/_11iE"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/11ie_shop/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> "
"Holis Market

<img src=""https://www.bepakt.com/images/logo_holis_1000.png"" height=70 width=70>","<img src=""https://www.bepakt.com/images/flags/austria.gif"" style=""width:20px; padding-right:2px;""> <b>Austria</b>

<a href=""https://www.google.com/maps/place/Johann-Konrad-Vogel-Straße+7-9,+4020+Linz,+Oostenrijk/@48.3007448,14.2898132,17z/data=!3m1!4b1!4m2!3m1!1s0x4773978ff0671301:0x4ce0be20a04c1de0"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Linz [4020]
<i>Johann-Konrad-
Vogel-Straße 7-9</i>","1-Sep-2015

<span style=""color:red""><b>Closed 13-Aug-2016</b></span>
[<a href=""https://derstandard.at/2000042764379/Verpackungsfreier-Supermarkt-Holis-nach-elf-Monaten-pleite"" target=""_blank"">source</a>]","holis-market.at (offline)

<a href=""https://www.facebook.com/HolisMarket"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/holismarket"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://instagram.com/holismarket/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""http://vimeopro.com/amagofilm/holis-market"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_vimeo_300.png"" width=15 height=15></a> <a href=""https://www.pinterest.com/holismarket"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_pinterest_300.png"" width=15 height=15></a> <a href=""https://wemakeit.com/projects/holis-market"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_wemakeit_300.png"" width=15 height=15></a>   <a href=""https://www.greenrocket.com/investmentchancen/holis-market"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_greenrocket_300.png"" width=15 height=15></a> "
"<a href=""http://bagandbuy.nl"" target=""_blank"">Bag & Buy

<img src=""https://www.bepakt.com/images/logo_bagandbuy_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=19 height=10 style=""width:20px; padding-right:2px;""> <b>Netherlands</b>

<a href=""https://www.google.com/maps/place/Twijnstraat,+3511+ZL+Utrecht/@52.0826841,5.123421,17z/data=!3m1!4b1!4m2!3m1!1s0x47c66f5709afab4b:0xdc95dbb3eeaa04fb"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15> </a> Utrecht [3511 ZL]
<i>Twijnstraat 38</i>","1-Sep-2015

<span style=""color:red""><b>Closed 14-Feb-2016</b></span>
[<a href=""https://www.duic.nl/ondernemen/doek-valt-voor-bagbuy-op-de-twijnstraat-zondag-de-laatste-dag/"" target=""_blank"">source</a>]","<a href=""http://www.bagandbuy.nl"" target=""_blank"">www.bagandbuy.nl</a>
<a href=""mailto:info@bagandbuy.nl"" target=""_blank"">info@bagandbuy.nl</a>

<a href=""http://facebook.com/bagandbuy"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""http://twitter.com/bagandbuy"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.linkedin.com/in/wimvandijk1"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a>  <a href=""https://www.doorgaan.nl/nl/project/2203011/de-1e-verpakkingsvrije-winkel-in-nederland-bag-buy"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_doorgaan_300.png"" width=15 height=15></a>"
"<a href=""http://www.mollerensylvia.no/"" target=""_blank"">Mølleren Sylvia 

<img src=""https://www.bepakt.com/images/logo_molleren_sylvia.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/norway.gif"" style=""width:20px; padding-right:2px;""> <b>Norway</b>
Oslo [Oslo, 0167]
<i>Hegdehaugsveien 12</i>",12-Sep-2015,"<a href=""http://www.mollerensylvia.no"" target=""_blank"">www.mollerensylvia.no</a>
<a href=""mailto:elisabeth@mollerensylvia.no"">elisabeth@mollerensylvia.no</a>
+47 482 59 970

<a href=""https://www.facebook.com/mollerensylvia"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/MollerenSylvia
"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/mollerensylvia/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://www.kickstarter.com/projects/1217033786/mlleren-sylvia"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_kickstarter_.png"" width=15 height=15></a>"
"<a href="" http://www.denieuwegraanschuur.nl"" target=""_blank"">Coöperatie
 de Nieuwe Graanschuur

<img src=""https://www.bepakt.com/images/logo_denieuwegraanschuur_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=19 height=10 style=""width:20px; padding-right:2px;""> <b>Netherlands</b>

<a href=""https://www.google.com/maps?client=safari&rls=en&q=De+Nieuwe+Graanschuur+3811+EP+Amersfoort&biw=1055&bih=980&bav=on.2,or.&bvm=bv.146786187,d.d2s&um=1&ie=UTF-8&sa=X&ved=0ahUKEwj_u7OnkYzSAhVD2RoKHa4yBccQ_AUIBigB"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Amersfoort [3811 EP]
<i>Bloemendalsestraat 19</i>","30-Sep-2015
","<a href=""http://www.denieuwegraanschuur.nl"" target=""_blank"">www.denieuwegraanschuur.nl</a>
<a href=""mailto:info@denieuwegraanschuur.nl"" target=""_blank"">info@denieuwegraanschuur.nl</a>
+31 33 4669686

<a href=""https://facebook.com/deNieuweGraanschuur"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
